,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag
0,1,75,85,99494.97,99768.59,,,273.61999999999534,0.002750088773331827,2025-05-08 08:15:00,2025-05-08 10:45:00,0 days 02:30:00,
1,-1,95,105,99270.03,101220.0,,,-1949.9700000000012,-0.019643088654249352,2025-05-08 13:15:00,2025-05-08 15:45:00,0 days 02:30:00,
2,1,115,135,101273.97,102977.0,,,1703.0299999999988,0.016816068334242207,2025-05-08 18:15:00,2025-05-08 23:15:00,0 days 05:00:00,
3,1,125,165,102218.47,103062.0,,,843.5299999999988,0.008252226823586728,2025-05-08 20:45:00,2025-05-09 06:45:00,0 days 10:00:00,
4,1,145,175,102842.54,102689.53,,,-153.00999999999476,-0.0014878084496939836,2025-05-09 01:45:00,2025-05-09 09:15:00,0 days 07:30:00,
5,1,155,195,102663.32,103546.19,,,882.8699999999953,0.008599663443574546,2025-05-09 04:15:00,2025-05-09 14:15:00,0 days 10:00:00,
6,1,185,253,103124.08,103142.86,,,18.779999999998836,0.0001821107155572932,2025-05-09 11:45:00,2025-05-10 04:45:00,0 days 17:00:00,
7,1,207,293,102780.34,103475.22,,,694.8800000000047,0.00676082604902839,2025-05-09 17:15:00,2025-05-10 14:45:00,0 days 21:30:00,
8,1,217,357,103092.3,103786.02,,,693.7200000000012,0.0067291155595519125,2025-05-09 19:45:00,2025-05-11 06:45:00,1 days 11:00:00,
9,1,243,377,103046.94,104474.92,,,1427.979999999996,0.013857568211147253,2025-05-10 02:15:00,2025-05-11 11:45:00,1 days 09:30:00,
10,1,263,403,103797.94,103921.41,,,123.47000000000116,0.0011895226437057538,2025-05-10 07:15:00,2025-05-11 18:15:00,1 days 11:00:00,
11,1,273,413,103749.02,104300.4,,,551.3799999999901,0.005314556224241818,2025-05-10 09:45:00,2025-05-11 20:45:00,1 days 11:00:00,
0,1,75,85,99494.97,99768.59,,,273.61999999999534,0.002750088773331827,2025-05-08 08:15:00,2025-05-08 10:45:00,0 days 02:30:00,
1,-1,95,105,99270.03,101220.0,,,-1949.9700000000012,-0.019643088654249352,2025-05-08 13:15:00,2025-05-08 15:45:00,0 days 02:30:00,
2,1,115,135,101273.97,102977.0,,,1703.0299999999988,0.016816068334242207,2025-05-08 18:15:00,2025-05-08 23:15:00,0 days 05:00:00,
3,1,125,165,102218.47,103062.0,,,843.5299999999988,0.008252226823586728,2025-05-08 20:45:00,2025-05-09 06:45:00,0 days 10:00:00,
4,1,145,175,102842.54,102689.53,,,-153.00999999999476,-0.0014878084496939836,2025-05-09 01:45:00,2025-05-09 09:15:00,0 days 07:30:00,
5,1,155,195,102663.32,103546.19,,,882.8699999999953,0.008599663443574546,2025-05-09 04:15:00,2025-05-09 14:15:00,0 days 10:00:00,
6,1,185,253,103124.08,103142.86,,,18.779999999998836,0.0001821107155572932,2025-05-09 11:45:00,2025-05-10 04:45:00,0 days 17:00:00,
7,1,207,293,102780.34,103475.22,,,694.8800000000047,0.00676082604902839,2025-05-09 17:15:00,2025-05-10 14:45:00,0 days 21:30:00,
8,1,217,357,103092.3,103786.02,,,693.7200000000012,0.0067291155595519125,2025-05-09 19:45:00,2025-05-11 06:45:00,1 days 11:00:00,
9,1,243,377,103046.94,104474.92,,,1427.979999999996,0.013857568211147253,2025-05-10 02:15:00,2025-05-11 11:45:00,1 days 09:30:00,
10,1,263,403,103797.94,103921.41,,,123.47000000000116,0.0011895226437057538,2025-05-10 07:15:00,2025-05-11 18:15:00,1 days 11:00:00,
11,1,273,413,103749.02,104300.4,,,551.3799999999901,0.005314556224241818,2025-05-10 09:45:00,2025-05-11 20:45:00,1 days 11:00:00,
0,1,75,85,99494.97,99768.59,,,273.61999999999534,0.002750088773331827,2025-05-08 08:15:00,2025-05-08 10:45:00,0 days 02:30:00,
1,-1,95,105,99270.03,101220.0,,,-1949.9700000000012,-0.019643088654249352,2025-05-08 13:15:00,2025-05-08 15:45:00,0 days 02:30:00,
2,1,115,135,101273.97,102977.0,,,1703.0299999999988,0.016816068334242207,2025-05-08 18:15:00,2025-05-08 23:15:00,0 days 05:00:00,
3,1,125,165,102218.47,103062.0,,,843.5299999999988,0.008252226823586728,2025-05-08 20:45:00,2025-05-09 06:45:00,0 days 10:00:00,
4,1,145,175,102842.54,102689.53,,,-153.00999999999476,-0.0014878084496939836,2025-05-09 01:45:00,2025-05-09 09:15:00,0 days 07:30:00,
5,1,155,195,102663.32,103546.19,,,882.8699999999953,0.008599663443574546,2025-05-09 04:15:00,2025-05-09 14:15:00,0 days 10:00:00,
6,1,185,253,103124.08,103142.86,,,18.779999999998836,0.0001821107155572932,2025-05-09 11:45:00,2025-05-10 04:45:00,0 days 17:00:00,
7,1,207,293,102780.34,103475.22,,,694.8800000000047,0.00676082604902839,2025-05-09 17:15:00,2025-05-10 14:45:00,0 days 21:30:00,
8,1,217,357,103092.3,103786.02,,,693.7200000000012,0.0067291155595519125,2025-05-09 19:45:00,2025-05-11 06:45:00,1 days 11:00:00,
9,1,243,377,103046.94,104474.92,,,1427.979999999996,0.013857568211147253,2025-05-10 02:15:00,2025-05-11 11:45:00,1 days 09:30:00,
10,1,263,403,103797.94,103921.41,,,123.47000000000116,0.0011895226437057538,2025-05-10 07:15:00,2025-05-11 18:15:00,1 days 11:00:00,
11,1,273,413,103749.02,104300.4,,,551.3799999999901,0.005314556224241818,2025-05-10 09:45:00,2025-05-11 20:45:00,1 days 11:00:00,
